process_step,total,汽车制造业,文教、工美、体育和娱乐用品制造业,电气机械和器材制造业,专用设备制造业,非金属矿物制品业,食品制造业,通用设备制造业,铁路、船舶、航空航天和其他运输设备制造业,医药制造业,纺织业,有色金属冶炼和压延加工业,皮革、毛皮、羽毛及其制品和制鞋业,化学纤维制造业,农副食品加工业,酒、饮料和精制茶制造业
灌装包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原料称配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
调漆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配料计量,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配制稀释,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混药,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
插引,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
达标排放,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
净选分拣,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
切制成型,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
化学合成,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
培养发酵,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
裁切成型,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
干燥炮制,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
粉碎过筛,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
配液灌装,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
提取浓缩,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
切断打包,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
溶剂回收,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
发酵培养,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
分拣分类,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
铺装摊平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收卷,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
编织,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
簇绒,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巡检监控,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
打捆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
回转窑煅烧,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
包装码垛,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
竖窑/回转窑煅烧,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
模具准备,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
堆垛,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
出窑,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
大板切割,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
检测分级,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
玻纤铺层,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
施釉,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
涂覆,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
高炉冶炼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渣处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
铸坯检验,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加热炉加热,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表面检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
矿热炉熔炼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电解精炼,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
阴极铜剥离,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
阳极泥收集,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
出铝,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
热轧,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
加热,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
合金添加,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
称重检测,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
还原,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
铸锭,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
拉丝,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
配料,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
剪切,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
装车外运,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
脱水脱硫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剥离作业,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成品储运,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
地质勘探,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
磨矿,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
放射性分选,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精矿脱水,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分级包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
机械采盐,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钻孔爆破,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
堆存包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
提升出井,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安全监测监控,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
通风除尘维护,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
储运设施管理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气集输,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钻井施工,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井下物料运输,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
铲装运输,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
测井录井,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
环保监测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
选矿加工,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
数据监测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分拣包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
粉碎破碎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
外观分拣,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
屠宰放血,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
包装称重,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
包装标识,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
筛分包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
清洗分级,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
毛油精炼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
计量灌装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
装箱码垛,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
分拣分级,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
称重分拣,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
压榨浸出,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
脱水干燥,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
碾磨研磨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
煮浆点浆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
分级分拣,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
擂溃调味,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
罐装,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
脱模,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
烘烤,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
入池发酵,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
冷却,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
调温,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
切条,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
熬煮,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
混合,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
干燥/晾晒,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
装罐,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
冷库储存,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
勾兑调配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
匀堆拼配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
配料调配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
贴标,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
封盖,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
原料处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
筛分,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
蒸馏,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
电镀处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取件冷却,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喷砂除锈,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反光膜贴合,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
抛光打磨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
底釉烧成,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成品上架,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
压铸成型,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
气密检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浇注成型,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
底漆喷涂,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清砂打磨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
焊缝检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
压制成型,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
装配拧紧,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
质检记录,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配件分拣,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自由锻造,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阀芯装配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
零件加工,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
计数包装,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
液压调试,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
设备准备,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
密封件装配,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
关节装配,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
焊接补修,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
镜头组装,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
轿厢总装,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
附件装配,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
下料切割,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
载荷试验,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
车削,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
动平衡,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
运维巡检,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
现场维修,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
密封测试,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
总装调试,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
调试适配,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
调试优化,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
抛光,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
涂胶密封,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
滤料装填,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
机加工,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
线缆敷设,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
接线,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
调试试车,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
粗加工,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
零部件制造,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
运营维护,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
电气布线,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
转向架装配,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
压力测试,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
分段涂装,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
舾装,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
内装,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
发动机总装,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
电池包总装,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
整车组装,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
车厢内装,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
组装调试,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
陆上测试,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
机身装配,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
叠层,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
内筒装配,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
化成,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
压缩机装配,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
叠片/卷绕,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
外观检查,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
集热管安装,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
嵌线,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
开关操作,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
元器件安装,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
端盖装配,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
门体装配,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
抽真空充氟,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
二次接线,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
极板涂膏,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
气密测试,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
注液,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
浸漆固化,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
组件安装,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
分选,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
收卷成盘,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
成缆检测,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
线圈绕制,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
装框,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
绕线,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
铁芯叠装,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
高压测试,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
电镀铜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配送,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
来料检验,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
测试分选,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
暗室测试,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
测试标定,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
线缆整理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电机安装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表带安装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
模组组装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
机芯组装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伞面装配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伞骨组装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原料分选,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
辐照后检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
物料卸载,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
物料装载,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
物料入库,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
整形修剪,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
植毛装配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
预分类,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
机械破碎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熔炼提纯,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
危废处置,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
质检包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重新校准,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
涂装防腐,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
零件修复,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
车体检修,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
拆解分解,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
故障诊断,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
绝缘处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
舱室清理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
结构检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
转向架检修,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
绝缘测试,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
组件巡检,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冷却塔散热,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
药剂配制,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
倒闸操作,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井口巡检,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
炉排焚烧,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
管道巡线,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
灰库储存,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
储料巡检,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
计量表校验,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电缆巡检,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烟气脱硫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
辐射区巡检,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
输煤系统,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阀门调节,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
计量,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
储气,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
灌装充装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
粗煤气净化,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
预处理破碎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厌氧发酵,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
气化反应,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沼气净化,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仓储,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
调压站,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二沉池,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
初沉池,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
粗格栅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
污泥脱水,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
生化池,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仓储堆垛,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
管网配水,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
设施维护,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高压泵送,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
