rank,process_step,category,scene_count,intervention_roi,value_density,avg_difficulty_score,insight
276,油气处理,其他工序,1,2.67,4.0,1.5,需评估具体场景
277,成品储运,仓储物流,1,2.67,4.0,1.5,需评估具体场景
278,堆存包装,包装成品,1,2.67,4.0,1.5,需评估具体场景
279,数据监测,巡检维护,1,2.67,2.67,1.0,需评估具体场景
280,粉碎破碎,原料处理,1,2.67,4.0,1.5,需评估具体场景
281,取件冷却,其他工序,1,2.67,4.0,1.5,需评估具体场景
282,液压调试,其他工序,1,2.67,4.0,1.5,需评估具体场景
283,设备准备,其他工序,1,2.67,4.0,1.5,需评估具体场景
284,外观检查,其他工序,1,2.67,4.0,1.5,需评估具体场景
285,元器件安装,其他工序,1,2.67,4.0,1.5,需评估具体场景
286,预分类,其他工序,1,2.67,4.0,1.5,需评估具体场景
287,危废处置,其他工序,1,2.67,4.0,1.5,需评估具体场景
288,涂装防腐,其他工序,1,2.67,4.0,1.5,需评估具体场景
289,计量表校验,其他工序,1,2.67,4.0,1.5,需评估具体场景
290,调压站,其他工序,1,2.67,4.0,1.5,需评估具体场景
291,污泥脱水,其他工序,1,2.67,4.67,1.75,需评估具体场景
292,鞣制处理,其他工序,1,2.66,3.33,1.25,需评估具体场景
293,筛分,原料处理,1,2.66,3.33,1.25,需评估具体场景
294,零件加工,加工制造,1,2.66,3.33,1.25,需评估具体场景
295,收卷成盘,其他工序,1,2.66,3.33,1.25,需评估具体场景
296,注液,其他工序,1,2.5,5.0,2.0,需评估具体场景
297,原料称配,原料处理,1,2.47,4.33,1.75,需评估具体场景
298,包装码垛,包装成品,1,2.47,4.33,1.75,需评估具体场景
299,脱水脱硫,环保安全,1,2.47,4.33,1.75,需评估具体场景
300,电镀处理,其他工序,1,2.47,4.33,1.75,需评估具体场景
301,初沉池,其他工序,1,2.47,4.33,1.75,需评估具体场景
302,成品包装,包装成品,1,2.45,3.67,1.5,需评估具体场景
303,件箱包装,包装成品,1,2.45,3.67,1.5,需评估具体场景
304,卷取,其他工序,1,2.45,3.67,1.5,需评估具体场景
305,精分选分级,其他工序,1,2.45,3.67,1.5,需评估具体场景
306,锯材堆垛,其他工序,1,2.45,3.67,1.5,需评估具体场景
307,UV涂装,其他工序,1,2.45,3.67,1.5,需评估具体场景
308,称重检测,检测质控,1,2.45,3.67,1.5,需评估具体场景
309,剥离作业,其他工序,1,2.45,3.67,1.5,需评估具体场景
310,外观分拣,其他工序,1,2.45,3.67,1.5,需评估具体场景
311,包装称重,包装成品,1,2.45,3.67,1.5,需评估具体场景
312,筛分包装,原料处理,1,2.45,3.67,1.5,需评估具体场景
313,计数包装,包装成品,1,2.45,3.67,1.5,需评估具体场景
314,下料切割,其他工序,1,2.45,3.67,1.5,需评估具体场景
315,辐照后检测,检测质控,1,2.45,3.67,1.5,需评估具体场景
316,重新校准,其他工序,1,2.45,3.67,1.5,需评估具体场景
317,拆解分解,其他工序,1,2.45,3.67,1.5,需评估具体场景
318,精梳制条,其他工序,1,2.4,3.0,1.25,需评估具体场景
319,缝制成型,加工制造,1,2.4,3.0,1.25,需评估具体场景
320,水洗脱脂,其他工序,1,2.4,3.0,1.25,需评估具体场景
321,绷帮贴底,其他工序,1,2.4,3.0,1.25,需评估具体场景
322,成品上架,其他工序,1,2.4,3.0,1.25,需评估具体场景
323,测试分选,检测质控,1,2.4,3.0,1.25,需评估具体场景
324,暗室测试,检测质控,1,2.4,3.0,1.25,需评估具体场景
325,编织成型,加工制造,2,2.36,5.0,2.12,需评估具体场景
326,罐装,其他工序,1,2.33,4.67,2.0,需评估具体场景
327,分段涂装,其他工序,1,2.33,4.67,2.0,需评估具体场景
328,开关操作,其他工序,1,2.33,4.67,2.0,需评估具体场景
329,细纱,其他工序,1,2.29,4.0,1.75,需评估具体场景
330,鞋帮裁断,其他工序,1,2.29,4.0,1.75,需评估具体场景
331,热压固化,其他工序,1,2.29,4.0,1.75,需评估具体场景
332,漂白,其他工序,1,2.29,4.0,1.75,需评估具体场景
333,拧紧紧固,其他工序,1,2.29,4.0,1.75,需评估具体场景
334,制剂配制,其他工序,1,2.29,4.0,1.75,需评估具体场景
335,化学合成,加工制造,1,2.29,4.0,1.75,需评估具体场景
336,放射性分选,其他工序,1,2.29,4.0,1.75,需评估具体场景
337,井下物料运输,其他工序,1,2.29,4.0,1.75,需评估具体场景
338,混合,其他工序,1,2.29,4.0,1.75,需评估具体场景
339,底漆喷涂,其他工序,1,2.29,4.0,1.75,需评估具体场景
340,配送,仓储物流,1,2.29,4.0,1.75,需评估具体场景
341,舱室清理,其他工序,1,2.29,4.0,1.75,需评估具体场景
342,出水,其他工序,1,2.29,4.0,1.75,需评估具体场景
343,原料验收,原料处理,1,2.22,3.33,1.5,需评估具体场景
344,配对分装,其他工序,1,2.22,3.33,1.5,需评估具体场景
345,干燥,其他工序,1,2.22,3.33,1.5,需评估具体场景
346,选皮配皮,其他工序,1,2.22,3.33,1.5,需评估具体场景
347,蒸煮软化,其他工序,1,2.22,3.33,1.5,需评估具体场景
348,检测打包,检测质控,1,2.22,3.33,1.5,需评估具体场景
349,切割下料,其他工序,1,2.22,3.33,1.5,需评估具体场景
350,开料裁切,其他工序,1,2.22,3.33,1.5,需评估具体场景
351,洗涤,其他工序,1,2.22,3.33,1.5,需评估具体场景
352,分拣摆盘,其他工序,1,2.22,3.33,1.5,需评估具体场景
353,充气封口,其他工序,1,2.22,3.33,1.5,需评估具体场景
354,电气接线,其他工序,1,2.22,3.33,1.5,需评估具体场景
355,装箱码垛,包装成品,1,2.22,3.33,1.5,需评估具体场景
356,附件装配,加工制造,1,2.22,3.33,1.5,需评估具体场景
357,调试适配,其他工序,1,2.22,3.33,1.5,需评估具体场景
358,调试优化,其他工序,1,2.22,3.33,1.5,需评估具体场景
359,涂胶密封,其他工序,1,2.22,3.33,1.5,需评估具体场景
360,物料入库,仓储物流,1,2.22,3.33,1.5,需评估具体场景
361,贴底粘合,其他工序,1,2.17,4.33,2.0,需评估具体场景
362,喷涂,其他工序,1,2.17,4.33,2.0,需评估具体场景
363,气化,其他工序,1,2.17,4.33,2.0,需评估具体场景
364,阴极铜剥离,其他工序,1,2.17,4.33,2.0,需评估具体场景
365,合金添加,其他工序,1,2.17,4.33,2.0,需评估具体场景
366,钻孔爆破,其他工序,1,2.17,4.33,2.0,需评估具体场景
367,烘烤,其他工序,1,2.17,4.33,2.0,需评估具体场景
368,清砂打磨,其他工序,1,2.17,4.33,2.0,需评估具体场景
369,抽真空充氟,其他工序,1,2.17,4.33,2.0,需评估具体场景
370,二次接线,其他工序,1,2.17,4.33,2.0,需评估具体场景
371,气密测试,检测质控,1,2.17,4.33,2.0,需评估具体场景
372,称量充绒,其他工序,1,2.1,3.67,1.75,需评估具体场景
373,真空加压浸渍,其他工序,1,2.1,3.67,1.75,需评估具体场景
374,炭化烧制,其他工序,1,2.1,3.67,1.75,需评估具体场景
375,浆料储存,仓储物流,1,2.1,3.67,1.75,需评估具体场景
376,裁切,其他工序,1,2.1,3.67,1.75,需评估具体场景
377,破碎,原料处理,1,2.1,3.67,1.75,需评估具体场景
378,配制稀释,其他工序,1,2.1,3.67,1.75,需评估具体场景
379,净选分拣,其他工序,1,2.1,3.67,1.75,需评估具体场景
380,裁切成型,加工制造,1,2.1,3.67,1.75,需评估具体场景
381,粉碎过筛,原料处理,1,2.1,3.67,1.75,需评估具体场景
382,切断打包,包装成品,1,2.1,3.67,1.75,需评估具体场景
383,加热,其他工序,1,2.1,3.67,1.75,需评估具体场景
384,铸锭,其他工序,1,2.1,3.67,1.75,需评估具体场景
385,剪切,其他工序,1,2.1,3.67,1.75,需评估具体场景
386,地质勘探,其他工序,1,2.1,3.67,1.75,需评估具体场景
387,分级包装,包装成品,1,2.1,3.67,1.75,需评估具体场景
388,铲装运输,其他工序,1,2.1,3.67,1.75,需评估具体场景
389,选矿加工,加工制造,1,2.1,3.67,1.75,需评估具体场景
390,零部件制造,加工制造,1,2.1,3.67,1.75,需评估具体场景
391,铁芯叠装,其他工序,1,2.1,3.67,1.75,需评估具体场景
392,药剂配制,其他工序,1,2.1,3.67,1.75,需评估具体场景
393,仓储,仓储物流,1,2.1,3.67,1.75,需评估具体场景
394,管网配水,其他工序,1,2.1,3.67,1.75,需评估具体场景
395,索绪,其他工序,1,2.0,4.0,2.0,需评估具体场景
396,卷盘,其他工序,1,2.0,3.0,1.5,需评估具体场景
397,涂胶组坯,其他工序,1,2.0,4.0,2.0,需评估具体场景
398,折叠粘合,其他工序,1,2.0,4.0,2.0,需评估具体场景
399,制版CTP,其他工序,1,2.0,3.0,1.5,需评估具体场景
400,装配插装,加工制造,1,2.0,4.0,2.0,需评估具体场景
401,废物处置,其他工序,1,2.0,4.0,2.0,需评估具体场景
402,灌装包装,包装成品,1,2.0,4.0,2.0,需评估具体场景
403,配料计量,原料处理,1,2.0,4.0,2.0,需评估具体场景
404,干燥炮制,其他工序,1,2.0,4.0,2.0,需评估具体场景
405,涂覆,其他工序,1,2.0,4.0,2.0,需评估具体场景
406,分拣分级,其他工序,1,2.0,4.0,2.0,需评估具体场景
407,装罐,其他工序,1,2.0,4.0,2.0,需评估具体场景
408,原料处理,原料处理,1,2.0,4.0,2.0,需评估具体场景
409,关节装配,加工制造,1,2.0,4.0,2.0,需评估具体场景
410,陆上测试,检测质控,1,2.0,3.0,1.5,需评估具体场景
411,门体装配,加工制造,1,2.0,4.0,2.0,需评估具体场景
412,组件安装,其他工序,1,2.0,4.0,2.0,需评估具体场景
413,装框,其他工序,1,2.0,4.0,2.0,需评估具体场景
414,车体检修,其他工序,1,2.0,4.0,2.0,需评估具体场景
415,转向架检修,其他工序,1,2.0,4.0,2.0,需评估具体场景
416,辐射区巡检,巡检维护,1,2.0,4.0,2.0,需评估具体场景
417,灌装充装,其他工序,1,2.0,4.0,2.0,需评估具体场景
418,喷漆涂装,其他工序,1,1.92,4.33,2.25,需评估具体场景
419,配液灌装,其他工序,1,1.92,4.33,2.25,需评估具体场景
420,清洗分级,其他工序,1,1.92,4.33,2.25,需评估具体场景
421,压铸成型,加工制造,1,1.92,4.33,2.25,需评估具体场景
422,现场维修,巡检维护,1,1.92,4.33,2.25,需评估具体场景
423,叠层,其他工序,1,1.92,4.33,2.25,需评估具体场景
424,裁切下料,其他工序,1,1.9,3.33,1.75,需评估具体场景
425,定心装夹,其他工序,1,1.9,3.33,1.75,需评估具体场景
426,按需配送,仓储物流,1,1.9,3.33,1.75,需评估具体场景
427,削片加工,加工制造,1,1.9,3.33,1.75,需评估具体场景
428,修边去毛刺,其他工序,1,1.9,3.33,1.75,需评估具体场景
429,钻孔榫卯,其他工序,1,1.9,3.33,1.75,需评估具体场景
430,打包捆扎,包装成品,1,1.9,3.33,1.75,需评估具体场景
431,面漆喷涂,其他工序,1,1.9,3.33,1.75,需评估具体场景
432,调漆,其他工序,1,1.9,3.33,1.75,需评估具体场景
433,切制成型,加工制造,1,1.9,3.33,1.75,需评估具体场景
434,拉丝,其他工序,1,1.9,3.33,1.75,需评估具体场景
435,机械采盐,其他工序,1,1.9,3.33,1.75,需评估具体场景
436,包装标识,包装成品,1,1.9,3.33,1.75,需评估具体场景
437,切条,其他工序,1,1.9,3.33,1.75,需评估具体场景
438,动平衡,其他工序,1,1.9,3.33,1.75,需评估具体场景
439,滤料装填,其他工序,1,1.9,3.33,1.75,需评估具体场景
440,线缆敷设,其他工序,1,1.9,3.33,1.75,需评估具体场景
441,内装,其他工序,1,1.9,3.33,1.75,需评估具体场景
442,整车组装,加工制造,1,1.9,3.33,1.75,需评估具体场景
443,零件修复,其他工序,1,1.9,3.33,1.75,需评估具体场景
444,预处理破碎,原料处理,1,1.9,3.33,1.75,需评估具体场景
445,填充铺展,其他工序,1,1.83,3.67,2.0,需评估具体场景
446,定型,其他工序,1,1.83,3.67,2.0,需评估具体场景
447,裁边砂光,其他工序,1,1.83,3.67,2.0,需评估具体场景
448,分等检测,检测质控,1,1.83,3.67,2.0,需评估具体场景
449,纤维分离,其他工序,1,1.83,3.67,2.0,需评估具体场景
450,折弯冲压,加工制造,1,1.83,3.67,2.0,需评估具体场景
451,装配穿衣,加工制造,1,1.83,3.67,2.0,需评估具体场景
452,轮轴安装,其他工序,1,1.83,3.67,2.0,需评估具体场景
453,编织,其他工序,1,1.83,3.67,2.0,需评估具体场景
454,堆垛,其他工序,1,1.83,3.67,2.0,需评估具体场景
455,热轧,其他工序,1,1.83,3.67,2.0,需评估具体场景
456,钻井施工,其他工序,1,1.83,3.67,2.0,需评估具体场景
457,测井录井,其他工序,1,1.83,3.67,2.0,需评估具体场景
458,分级分拣,其他工序,1,1.83,3.67,2.0,需评估具体场景
459,熬煮,其他工序,1,1.83,3.67,2.0,需评估具体场景
460,匀堆拼配,其他工序,1,1.83,3.67,2.0,需评估具体场景
461,装配拧紧,加工制造,1,1.83,3.67,2.0,需评估具体场景
462,密封件装配,加工制造,1,1.83,3.67,2.0,需评估具体场景
463,轿厢总装,其他工序,1,1.83,3.67,2.0,需评估具体场景
464,车削,其他工序,1,1.83,3.67,2.0,需评估具体场景
465,接线,其他工序,1,1.83,3.67,2.0,需评估具体场景
466,车厢内装,其他工序,1,1.83,3.67,2.0,需评估具体场景
467,电机安装,其他工序,1,1.83,3.67,2.0,需评估具体场景
468,熔炼提纯,加工制造,1,1.83,3.67,2.0,需评估具体场景
469,倒闸操作,其他工序,1,1.83,3.67,2.0,需评估具体场景
470,阀门调节,其他工序,1,1.83,3.67,2.0,需评估具体场景
471,卷绑,其他工序,1,1.78,4.0,2.25,需评估具体场景
472,打磨修整,其他工序,1,1.78,4.0,2.25,需评估具体场景
473,砂光,其他工序,1,1.78,4.0,2.25,需评估具体场景
474,打磨,其他工序,1,1.78,4.0,2.25,需评估具体场景
475,插引,其他工序,1,1.78,4.0,2.25,需评估具体场景
476,打捆,其他工序,1,1.78,2.67,1.5,需评估具体场景
477,施釉,其他工序,1,1.78,4.0,2.25,需评估具体场景
478,装车外运,其他工序,1,1.78,4.0,2.25,需评估具体场景
479,分拣包装,包装成品,1,1.78,4.0,2.25,需评估具体场景
480,称重分拣,其他工序,1,1.78,4.0,2.25,需评估具体场景
481,配料调配,原料处理,1,1.78,4.0,2.25,需评估具体场景
482,底釉烧成,加工制造,1,1.78,4.0,2.25,需评估具体场景
483,抛光,其他工序,1,1.78,4.0,2.25,需评估具体场景
484,电池包总装,其他工序,1,1.78,4.0,2.25,需评估具体场景
485,内筒装配,加工制造,1,1.78,4.0,2.25,需评估具体场景
486,压缩机装配,加工制造,1,1.78,4.0,2.25,需评估具体场景
487,原料分选,原料处理,1,1.78,2.67,1.5,需评估具体场景
488,抛光打磨,其他工序,1,1.73,4.33,2.5,需评估具体场景
489,浇注成型,加工制造,1,1.73,4.33,2.5,需评估具体场景
490,整经,其他工序,1,1.71,3.0,1.75,需评估具体场景
491,绗缝,其他工序,1,1.71,3.0,1.75,需评估具体场景
492,绕弦安装,其他工序,1,1.71,3.0,1.75,需评估具体场景
493,勾兑调配,其他工序,1,1.71,3.0,1.75,需评估具体场景
494,折叠,其他工序,1,1.67,3.33,2.0,需评估具体场景
495,五金安装,其他工序,1,1.67,3.33,2.0,需评估具体场景
496,开槽榫接,其他工序,1,1.67,3.33,2.0,需评估具体场景
497,灌装封盖,其他工序,1,1.67,3.33,2.0,需评估具体场景
498,精磨抛光,其他工序,1,1.67,3.33,2.0,需评估具体场景
499,缝合车线,其他工序,1,1.67,3.33,2.0,需评估具体场景
500,喷涂防腐,其他工序,1,1.67,3.33,2.0,需评估具体场景
501,收卷,其他工序,1,1.67,3.33,2.0,需评估具体场景
502,簇绒,其他工序,1,1.67,3.33,2.0,需评估具体场景
503,模具准备,其他工序,1,1.67,3.33,2.0,需评估具体场景
504,电气布线,其他工序,1,1.67,3.33,2.0,需评估具体场景
505,表带安装,其他工序,1,1.67,3.33,2.0,需评估具体场景
506,绷帮成型,加工制造,1,1.63,3.67,2.25,需评估具体场景
507,分等定级,其他工序,1,1.63,3.67,2.25,需评估具体场景
508,宝石镶嵌,其他工序,1,1.63,3.67,2.25,需评估具体场景
509,混药,其他工序,1,1.63,3.67,2.25,需评估具体场景
510,大板切割,其他工序,1,1.63,3.67,2.25,需评估具体场景
511,玻纤铺层,其他工序,1,1.63,3.67,2.25,需评估具体场景
512,脱模,其他工序,1,1.63,3.67,2.25,需评估具体场景
513,阀芯装配,加工制造,1,1.63,3.67,2.25,需评估具体场景
514,粗加工,加工制造,1,1.63,3.67,2.25,需评估具体场景
515,转向架装配,加工制造,1,1.63,3.67,2.25,需评估具体场景
516,舾装,其他工序,1,1.63,3.67,2.25,需评估具体场景
517,发动机总装,其他工序,1,1.63,3.67,2.25,需评估具体场景
518,线圈绕制,其他工序,1,1.63,3.67,2.25,需评估具体场景
519,机芯组装,加工制造,1,1.63,3.67,2.25,需评估具体场景
520,培养发酵,其他工序,1,1.6,4.0,2.5,需评估具体场景
521,自由锻造,加工制造,1,1.6,4.0,2.5,需评估具体场景
522,叠片/卷绕,其他工序,1,1.57,4.33,2.75,需评估具体场景
523,模组组装,加工制造,1,1.57,4.33,2.75,需评估具体场景
524,解包散叶,其他工序,1,1.53,2.67,1.75,需评估具体场景
525,拉伸定型,其他工序,1,1.53,2.67,1.75,需评估具体场景
526,搬运出库,仓储物流,1,1.53,2.67,1.75,需评估具体场景
527,干燥/晾晒,其他工序,1,1.53,2.67,1.75,需评估具体场景
528,条盒包装,包装成品,1,1.5,3.0,2.0,需评估具体场景
529,剖竹开片,其他工序,1,1.5,3.0,2.0,需评估具体场景
530,绷网铺设,其他工序,1,1.5,3.0,2.0,需评估具体场景
531,刺绣走针,其他工序,1,1.5,3.0,2.0,需评估具体场景
532,反光膜贴合,其他工序,1,1.5,3.0,2.0,需评估具体场景
533,集热管安装,其他工序,1,1.5,3.0,2.0,需评估具体场景
534,线缆整理,其他工序,1,1.5,3.0,2.0,需评估具体场景
535,伞骨组装,加工制造,1,1.5,3.0,2.0,需评估具体场景
536,植毛装配,加工制造,1,1.5,3.0,2.0,需评估具体场景
537,削薄折边,其他工序,1,1.48,3.33,2.25,需评估具体场景
538,铺装摊平,其他工序,1,1.48,3.33,2.25,需评估具体场景
539,调温,其他工序,1,1.48,3.33,2.25,需评估具体场景
540,焊接补修,加工制造,1,1.48,3.33,2.25,需评估具体场景
541,压制成型,加工制造,1,1.47,3.67,2.5,需评估具体场景
542,嵌线,其他工序,1,1.47,3.67,2.5,需评估具体场景
543,绕线,其他工序,1,1.47,3.67,2.5,需评估具体场景
544,机身装配,加工制造,1,1.45,4.0,2.75,需评估具体场景
545,印花,加工制造,1,1.33,3.33,2.5,需评估具体场景
546,穿综穿筘,其他工序,1,1.33,3.33,2.5,需评估具体场景
547,打磨抛光,其他工序,1,1.33,3.0,2.25,需评估具体场景
548,镜头组装,加工制造,1,1.33,3.33,2.5,需评估具体场景
549,组装调试,加工制造,1,1.33,2.0,1.5,需评估具体场景
550,端盖装配,加工制造,1,1.33,3.33,2.5,需评估具体场景
551,整形修剪,其他工序,1,1.33,2.33,1.75,需评估具体场景
552,精雕细刻,其他工序,1,1.21,3.33,2.75,需评估具体场景
553,伞面装配,加工制造,1,1.2,3.0,2.5,需评估具体场景
554,开榫加工,加工制造,1,1.09,3.0,2.75,需评估具体场景
555,面料包覆,其他工序,1,1.09,3.0,2.75,需评估具体场景
556,弯曲成型,加工制造,1,1.07,2.67,2.5,需评估具体场景
557,揭纸,其他工序,1,1.07,2.67,2.5,需评估具体场景
