priority_rank,scene_name_zh,scene_name_en,industry_code,source_major_name,process_step,value_score,difficulty_score,labor_urgency,scale_potential,superhuman_value,operation_complexity,structure_level,fault_tolerance,takt_pressure,priority_reason,l3_extracted,guide_generated
1,泄漏检测-罐区管廊-多点巡回,LeakDetection-TankFarmPipeRack-MultiPointPatrol,25-251-2511,石油、煤炭及其他燃料加工业,储存,5.0,0.5,5,5,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
2,巡检读数-化工装置区-有毒腐蚀环境,Inspection-ChemicalPlantArea-ToxicCorrosive,26-261-00,化学原料和化学制品制造业,反应合成,5.0,0.5,5,5,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
3,检测读数-瓦斯传感器-定点抄录,SensorReading-GasDetector-FixedPointRecording,6-61-610,煤炭开采和洗选业,通风排水,5.0,0.5,5,5,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
4,巡检读数-炼油装置区仪表-多层钢结构平台,InspectionReading-RefineryInstruments-MultiLevelPlatform,25-251-2511,石油、煤炭及其他燃料加工业,常减压蒸馏,5.0,0.75,5,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
5,巡检监测-陶瓷隧道窑-高温长距,Inspection-CeramicTunnelKiln-HighTempLong,30-307-3071,非金属矿物制品业,烧成,5.0,0.75,5,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
6,电解槽短路检测-铝电解-高温巡检,ShortCircuitDetection-AluminumElectrolysis-HighTempInspection,32-00-3216,有色金属冶炼和压延加工业,电解,5.0,0.75,5,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
7,巡检监测-尾矿库-有毒粉尘环境,Inspection-TailingsPond-ToxicDustyEnvironment,9-91-00,有色金属矿采选业,尾矿处理,5.0,0.75,5,5,5,1,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
8,巡检监测-井下巷道-瓦斯粉尘环境,Inspection-UndergroundTunnel-GasDustEnvironment,6-61-610,煤炭开采和洗选业,采掘作业,5.0,1.0,5,5,5,2,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
9,气体检测-危险区域-移动式连续监测,GasDetection-HazardousZone-MobileContinuousMonitoring,7-71-00,石油和天然气开采业,安全监控,5.0,1.0,5,5,5,2,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
10,巡检监测-井下采场-粉尘高湿环境,Inspection-UndergroundMiningFace-DustyHumidEnvironment,9-91-00,有色金属矿采选业,矿石开采,5.0,1.0,5,5,5,1,2,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
11,安全巡检-地下矿井巷道-粉尘高温环境,SafetyInspection-UndergroundMineTunnel-DustyHighTemp,10-101-00,非金属矿采选业,采掘装载,5.0,1.0,5,5,5,2,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
12,巡检监测-织布机运行状态-断经断纬检测,PatrolInspection-LoomOperationStatus-WarpWeftBreakDetection,17-171-1712,纺织业,织造,4.67,0.5,4,5,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
13,巡检监测-造纸机烘缸段-高温连续,Inspection-PaperMachineDryerSection-HighTemperatureContinuous,22-222-2221,造纸和纸制品业,烘干,4.67,0.5,5,4,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
14,巡检检漏-氨区管道-有毒制冷剂,LeakInspection-AmmoniaPipeline-ToxicRefrigerant,26-00-2621,化学原料和化学制品制造业,反应造粒,4.67,0.5,5,4,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
15,巡检监测-聚合反应釜-温压异常,Inspection-PolymerizationReactor-TempPressure,26-00-2651,化学原料和化学制品制造业,聚合反应,4.67,0.5,5,4,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,True,True
16,设备巡检-高温反应区-热辐射危害,EquipmentInspection-HighTempZone-ThermalRadiation,26-00-00,化学原料和化学制品制造业,反应合成,4.67,0.5,5,4,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,True,True
17,巡检读数-纺丝车间设备-高温环境,Inspection-SpinningEquipment-HighTemperature,28-282-00,化学纤维制造业,熔融纺丝,4.67,0.5,5,4,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
18,巡检监测-选矿厂皮带廊-长距离多节点,Inspection-ConveyorGallery-LongDistanceMultiNode,8-00-00,黑色金属矿采选业,矿石运输,4.67,0.5,4,5,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
19,巡检监测-电解槽组-高温腐蚀环境,Inspection-ElectrolyticCellArray-HighTempCorrosiveEnvironment,9-00-916,有色金属矿采选业,电解,4.67,0.5,5,4,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
20,巡检监测-矿用皮带廊-长距离巡检,Inspection-MiningBeltConveyor-LongDistancePatrol,9-91-00,有色金属矿采选业,矿石运输,4.67,0.5,4,5,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
21,巡检操作-电气设备间-多点抄表,Inspection-ElectricalRoom-MultiPointReading,38-389-3899,电气机械和器材制造业,定期巡检,4.67,0.5,4,5,5,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
22,设备监测-泵房机组-振动温度采集,EquipmentMonitoring-PumpHouse-VibrationTempCollection,25-251-2511,石油、煤炭及其他燃料加工业,常减压蒸馏,4.67,0.75,4,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
23,巡检监测-煤气净化区-有毒气体环境,PatrolMonitoring-CokeGasPurification-ToxicGasZone,25-252-2521,石油、煤炭及其他燃料加工业,煤气净化,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
24,巡检监测-煤制甲醇装置-易燃易爆区,PatrolMonitoring-CoalToMethanolPlant-FlammableZone,25-252-2523,石油、煤炭及其他燃料加工业,合成,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
25,巡检监测-回转窑外壁-高温区域,Inspection-RotaryKilnShell-HighTempZone,30-301-3011,非金属矿物制品业,回转窑煅烧,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
26,巡检监测-石灰窑炉-高温粉尘,Inspection-LimeKiln-HighTempDust,30-301-3012,非金属矿物制品业,竖窑/回转窑煅烧,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
27,巡检监测-玻璃熔窑-高温观火,Inspection-GlassFurnace-HighTempFlame,30-304-3041,非金属矿物制品业,熔化,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
28,巡检监测-玻纤池窑-粉尘高温,Inspection-FiberglassKiln-DustHighTemp,30-306-3061,非金属矿物制品业,熔化,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
29,巡检监测-耐火窑炉-极端高温,Inspection-RefractoryKiln-ExtremeTemp,30-308-3089,非金属矿物制品业,烧成,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
30,巡检监测-轧机区域设备-高温振动噪音,Inspection-RollingMillArea-HighTempVibrationNoise,31-313-3130,黑色金属冶炼和压延加工业,精轧,4.67,0.75,4,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
31,巡检测温-熔炼炉区-高温辐射环境,Inspection-SmeltingFurnaceZone-HighTempRadiation,32-321-00,有色金属冶炼和压延加工业,熔炼,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
32,储罐巡检-原油罐区-外观及附件检查,TankInspection-CrudeOilTankFarm-ExteriorAndAccessoryCheck,7-71-00,石油和天然气开采业,储运,4.67,0.75,4,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
33,电气巡检-配电设施-红外测温及读数,ElectricalInspection-PowerDistribution-InfraredThermographyAndReading,7-71-00,石油和天然气开采业,设备维护,4.67,0.75,4,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
34,巡检监测-球磨机衬板-高温粉尘环境,Inspection-BallMillLiner-HighTempDustyEnvironment,9-91-00,有色金属矿采选业,磨矿,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
35,巡检监测-选矿车间设备-高噪粉尘环境,Inspection-ConcentratorEquipment-HighNoiseDustyEnvironment,9-91-00,有色金属矿采选业,选矿,4.67,0.75,4,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
36,巡检监测-井下巷道瓦斯浓度-防爆要求,Inspection-UndergroundTunnelGasConcentration-ExplosionProof,11-111-1110,开采专业及辅助性活动,安全监测监控,4.67,0.75,5,4,5,1,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
37,储罐区巡检-LPG球罐-防爆环境,TankFarmInspection-LPGSphericalTank-ExplosionProofZone,45-00-4512,燃气生产和供应业,液化储存,4.67,0.75,5,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
38,综合巡检-天然气门站-防爆区域,ComprehensiveInspection-NGGateStation-ExplosionProofZone,45-00-4511,燃气生产和供应业,管网输配,4.67,0.75,4,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
39,生化池巡检-曝气池沿岸-有毒气体暴露区,BiochemicalPoolInspection-AerationTankPerimeter-ToxicGasZone,46-462-4620,水的生产和供应业,生化池,4.67,0.75,4,5,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
40,巡检读数-炼焦炉顶-高温粉尘环境,InspectionReading-CokingOvenTop-HighTempDusty,25-252-2521,石油、煤炭及其他燃料加工业,炼焦,4.67,1.0,5,4,5,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
41,危化品搬运-储罐区-防泄漏巡查,HazmatHandling-TankFarm-LeakPatrol,26-00-00,化学原料和化学制品制造业,储存,4.67,1.0,5,5,4,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
42,巡检监测-皮带运输机-沿线全程,Inspection-BeltConveyor-FullLinePatrol,6-61-610,煤炭开采和洗选业,运输提升,4.67,1.0,4,5,5,1,3,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
43,法兰检漏-管道连接点-气体泄漏巡检,FlangeLeakDetection-PipelineJoints-GasLeakagePatrol,7-72-00,石油和天然气开采业,安全监控,4.67,1.0,4,5,5,2,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,True,True
44,皮带运输巡检-矿石输送线-长距离巡线,ConveyorInspection-OreTransportLine-LongDistancePatrol,10-00-00,非金属矿采选业,井下运输,4.67,1.0,4,5,5,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
45,设备点检-破碎车间-高粉尘振动环境,EquipmentInspection-CrushingWorkshop-DustyVibration,10-00-00,非金属矿采选业,破碎筛分,4.67,1.0,4,5,5,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
46,巡检监测-井场油气井口-偏远无人值守,Inspection-OilGasWellhead-RemoteUnmanned,11-112-1120,开采专业及辅助性活动,生产监控巡检,4.67,1.0,4,5,5,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
47,储罐清洗检查-发酵罐内部-受限空间,TankCleaningInspection-FermentorInterior-ConfinedSpace,15-151-00,酒、饮料和精制茶制造业,发酵,4.67,1.0,5,4,5,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
48,机舱巡检-风力发电机组-狭窄高空作业,NacelleInspection-WindTurbine-ConfinedHighAltitude,44-441-4415,电力、热力生产和供应业,定期巡检,4.67,1.0,4,5,5,3,4,5,5,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
49,泄漏检测-燃气管道接口-便携检测仪,LeakDetection-GasPipelineJoint-PortableDetector,45-00-4511,燃气生产和供应业,管网输配,4.67,1.0,4,5,5,2,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
50,印刷品质检-外观瑕疵-全面翻检,PrintQualityInspection-SurfaceDefects-FullFlipCheck,23-231-00,印刷和记录媒介复制业,质检,4.67,1.25,4,5,5,3,4,5,4,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
51,氧化铝加料-电解槽-粉尘环境,AluminaFeeding-ElectrolyticCell-DustyEnvironment,32-00-3216,有色金属冶炼和压延加工业,配料,4.67,1.25,5,5,4,2,4,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
52,点检维护-井下机电设备-多工位巡回,EquipmentInspection-UndergroundMachinery-MultiStationPatrol,6-61-610,煤炭开采和洗选业,运输提升,4.67,1.25,4,5,5,3,4,4,5,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
53,巡检监测-井下采掘工作面-高危受限空间,Inspection-UndergroundMiningFace-ConfinedHazardous,8-81-810,黑色金属矿采选业,采掘作业,4.67,1.25,5,4,5,2,2,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
54,尾矿库巡查-矿山尾矿区-坝体安全监测,TailingsDamInspection-MineTailingsArea-DamSafetyMonitoring,10-00-00,非金属矿采选业,洗选分级,4.67,1.25,5,4,5,2,3,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
55,风能设备巡检-风电齿轮箱-高空狭窄空间,WindEquipmentInspection-WindGearbox-HighAltitudeConfined,34-341-3415,通用设备制造业,运维巡检,4.67,1.25,5,4,5,3,3,5,5,用工痛点突出；规模潜力大；超人价值高；容错空间大,False,False
56,浸漆吊装-电机定转子-高温环境,VarnishDipping-MotorStatorRotor-HighTemperature,38-381-3812,电气机械和器材制造业,浸漆固化,4.67,1.25,5,4,5,2,5,3,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,False,False
57,外观检测-仪表壳体-多面翻转,VisualInspection-InstrumentHousing-MultiFaceFlipping,40-00-00,仪器仪表制造业,检测测试,4.67,1.25,4,5,5,2,5,4,3,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
58,验布检疵-坯布表面-高速连续检测,FabricInspection-GreigeClothSurface-HighSpeedContinuous,17-171-1712,纺织业,坯布检验,4.67,1.5,4,5,5,2,5,3,3,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,False,False
59,外观质检-成品鞋-多角度检查,VisualInspection-FinishedShoe-MultiAngle,19-195-00,皮革、毛皮、羽毛及其制品和制鞋业,成品检验,4.67,1.5,4,5,5,3,4,4,4,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
60,检测巡查-井下变电所-电气安全,Inspection-UndergroundSubstation-ElectricalSafety,6-61-610,煤炭开采和洗选业,采掘作业,4.67,1.5,5,4,5,3,5,2,5,用工痛点突出；规模潜力大；超人价值高；环境结构化,False,False
61,巡检监测-尾矿库坝体-高危区域,Inspection-TailingsDam-HighRiskZone,8-00-00,黑色金属矿采选业,尾矿处理,4.67,1.5,5,4,5,2,2,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
62,气体监测-化学矿采区-有毒气体环境,GasMonitoring-ChemicalMineZone-ToxicGasEnvironment,10-102-1020,非金属矿采选业,采掘装载,4.67,1.5,5,4,5,2,2,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,True,True
63,外观检测-糕点成品-多面翻转,VisualInspection-Pastry-MultiSide,14-141-00,食品制造业,冷却,4.67,1.5,4,5,5,3,4,5,3,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
64,雨水收集池巡检-调蓄池内部-密闭缺氧空间,RainwaterTankInspection-StorageTankInterior-ConfinedOxygenDeficientSpace,46-469-4690,水的生产和供应业,设施维护,4.67,1.5,5,4,5,3,3,4,5,用工痛点突出；规模潜力大；超人价值高；容错空间大,False,False
65,巡检读数-发酵罐区-多参数采集,Inspection-FermentationTanks-MultiParameter,15-151-00,酒、饮料和精制茶制造业,发酵,4.33,0.25,3,5,5,1,5,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
66,巡检监测-蒸煮段-高温高压,Inspection-DigestingSection-HighTemperaturePressure,22-221-2211,造纸和纸制品业,蒸煮,4.33,0.5,5,3,5,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
67,设备巡检-浸出车间-易燃防爆,EquipmentInspection-ExtractionWorkshop-FlammableExplosionProof,13-133-1331,农副食品加工业,压榨浸出,4.33,0.5,5,3,5,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
68,蒸馏设备巡检-蒸馏车间-易燃区域,DistillationInspection-DistilleryHall-FlammableZone,15-00-1511,酒、饮料和精制茶制造业,蒸馏,4.33,0.5,5,3,5,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
69,设备巡检-大型机组试车-仪表读数采集,EquipmentInspection-LargeMachineTest-MeterReading,35-00-00,专用设备制造业,调试试车,4.33,0.5,3,5,5,1,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
70,外观检测-整车下线-全车巡检,VisualInspection-FinishedVehicle-FullScan,36-361-00,汽车制造业,整车检测,4.33,0.5,3,5,5,1,5,5,4,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
71,漆面检测-涂装下线-全车扫描,PaintInspection-PostPaint-FullScan,36-361-00,汽车制造业,涂装,4.33,0.5,4,4,5,1,5,5,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
72,巡检读数-生产设备仪表盘-固定路线,InspectionReading-ProductionEquipmentGauges-FixedRoute,40-00-00,仪器仪表制造业,检测测试,4.33,0.5,3,5,5,1,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
73,老化测试-电子仪表-高温环境监控,BurnInTest-ElectronicInstruments-HighTempMonitoring,40-401-4011,仪器仪表制造业,老化筛选,4.33,0.5,4,4,5,2,5,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
74,仪表抄读-水厂分散仪表-多区域长距离,MeterReading-WaterPlantScatteredMeters-MultiAreaLongDistance,46-461-4610,水的生产和供应业,巡检维护,4.33,0.5,3,5,5,1,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
75,巡检维护-卷接包装设备-多参数监测,Inspection-CigaretteEquipment-MultiParameter,16-162-1620,烟草制品业,卷接成型,4.33,0.75,3,5,5,2,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
76,车间巡检-家具工厂-设备状态,Inspection-FurnitureFactory-Equipment,21-00-00,家具制造业,加工制造,4.33,0.75,3,5,5,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
77,废水取样-环保处理站-污染环境,WastewaterSampling-TreatmentPlant-PollutedEnv,26-00-2666,化学原料和化学制品制造业,达标排放,4.33,0.75,4,5,4,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
78,巡检监控-聚合反应釜-压力温度,Inspection-PolymerizationReactor-PressureTemp,28-282-00,化学纤维制造业,聚合反应,4.33,0.75,4,4,5,1,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
79,巡检记录-橡塑生产设备-多机房,EquipmentPatrol-RubberPlasticMachine-MultiRoom,29-00-00,橡胶和塑料制品业,巡检监控,4.33,0.75,3,5,5,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,True,True
80,巡检监测-石墨化炉-高温辐射,Inspection-GraphitizationFurnace-HighTempRadiation,30-309-3091,非金属矿物制品业,石墨化,4.33,0.75,5,3,5,2,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
81,巡检监测-高炉区域设备-高温粉尘环境,Inspection-BlastFurnaceEquipment-HighTempDust,31-311-3110,黑色金属冶炼和压延加工业,高炉冶炼,4.33,0.75,4,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
82,巡检监测-转炉区域设备-高温粉尘烟气,Inspection-ConverterAreaEquipment-HighTempFumes,31-312-3120,黑色金属冶炼和压延加工业,吹炼熔炼,4.33,0.75,4,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
83,萃取槽巡检-稀土分离-腐蚀有毒环境,ExtractionTankInspection-RareEarthSeparation-CorrosiveToxic,32-00-3232,有色金属冶炼和压延加工业,萃取分离,4.33,0.75,5,3,5,2,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
84,巡检读数-油气井场仪表-多点定时采集,InspectionReading-OilGasWellsiteInstruments-MultiPointScheduled,7-71-00,石油和天然气开采业,设备维护,4.33,0.75,3,5,5,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
85,巡检读数-海上平台设备-多层甲板遍历,InspectionReading-OffshorePlatformEquipment-MultiDeckTraversal,7-00-712,石油和天然气开采业,平台维护,4.33,0.75,4,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
86,巡检监测-井下变电所-带电高危,Inspection-UndergroundSubstation-LiveHighVoltage,8-81-810,黑色金属矿采选业,井巷开拓,4.33,0.75,5,3,5,2,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
87,巡检监测-磨机车间设备-高噪高温,Inspection-GrindingMillEquipment-HighNoiseHighTemp,8-00-00,黑色金属矿采选业,磨矿分级,4.33,0.75,4,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
88,巡检监测-稀土萃取槽-酸碱腐蚀环境,Inspection-RareEarthExtractionTank-AcidAlkaliCorrosiveEnvironment,9-00-932,有色金属矿采选业,萃取分离,4.33,0.75,5,3,5,2,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
89,设备巡检-磨粉车间-粉尘防爆,EquipmentInspection-MillingWorkshop-DustExplosionProof,13-131-00,农副食品加工业,碾磨研磨,4.33,0.75,5,4,4,1,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
90,内部巡检-集装箱焊缝-密闭空间进入,InternalInspection-ContainerWeld-ConfinedEntry,33-333-3331,金属制品业,内部检测,4.33,0.75,5,3,5,2,5,5,4,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
91,功能检测-整车电器-多系统测试,FunctionalTest-VehicleElectrical-MultiSystem,36-361-00,汽车制造业,整车检测,4.33,0.75,3,5,5,2,5,5,4,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
92,外观检测-零部件-批量抽检,VisualInspection-Parts-BatchSampling,36-367-3670,汽车制造业,检测,4.33,0.75,3,5,5,1,5,4,4,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
93,巡检维护-车间设备-多点位覆盖,Inspection-ShopEquipment-MultiPoint,36-00-00,汽车制造业,涂装,4.33,0.75,3,5,5,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
94,状态巡检-通用设备-移动式多点监测,ConditionInspection-GeneralEquipment-MobileMultiPoint,43-432-4320,金属制品、机械和设备修理业,故障诊断,4.33,0.75,3,5,5,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
95,发酵罐巡检-厌氧反应器-密闭空间,DigesterInspection-AnaerobicReactor-ConfinedSpace,45-452-4520,燃气生产和供应业,厌氧发酵,4.33,0.75,4,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
96,沼气净化巡检-脱硫脱碳设备-气体环境,BiogasPurificationInspection-DesulfurizationEquipment-GasEnvironment,45-452-4520,燃气生产和供应业,沼气净化,4.33,0.75,4,4,5,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
97,二沉池刮泥机巡检-污泥回流区-坠池溺水风险,SecondaryClarifierInspection-SludgeReturnZone-DrowningRisk,46-462-4620,水的生产和供应业,二沉池,4.33,0.75,4,5,4,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
98,设备巡检-泵房水泵机组-多层楼梯分布,EquipmentInspection-PumpStationUnits-MultiFloorStairs,46-461-4610,水的生产和供应业,巡检维护,4.33,0.75,3,5,5,2,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
